sample_index,source_row_index,epoch_time,Time,Tgt_q0,Tgt_q1,Tgt_q2,Tgt_q3,Tgt_q4,Tgt_q5,Act_X,Act_Y,Act_Z,Act_RX,Act_RY,Act_RZ,Fx,Fy,Fz,Mx,My,Mz,force_magnitude,force_base_x,force_base_y,force_base_z,ur_fresh,ft_fresh,is_candidate_reference,is_reference_segment,is_final_measurement_window
966,976,1777637730.6442447,4243.152,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.184377735256135,-0.6507588029793719,0.971647194540262,-1.067849506287776,-0.7005692858287692,1.2963544166059933,3.37,25.73,48.59,0.444,0.321,1.694,55.08518766419881,-34.358749261505565,-42.74763978174282,5.1471878026112226,1,0,0,0,1
967,977,1777637730.6560805,4243.16,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438361100203465,-0.6507510122965736,0.971639707333506,-1.0678346496868352,-0.7005488553055516,1.2963248407593304,3.37,25.73,48.59,0.444,0.321,1.694,55.08518766419881,-34.36007506705246,-42.74660297672617,5.146948157565353,1,0,0,0,1
968,978,1777637730.6575854,4243.16,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438361100203465,-0.6507510122965736,0.971639707333506,-1.0678346496868352,-0.7005488553055516,1.2963248407593304,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85709145451281,-43.69111855187944,5.105743621292695,0,1,0,0,1
969,979,1777637730.6590614,4243.168,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18440130974088792,-0.6507696287031635,0.9716227339991799,-1.067794107735971,-0.7006094782909625,1.296347248272286,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85484485542611,-43.69309360682459,5.103738911846137,1,0,0,0,1
970,980,1777637730.6744173,4243.1759999999995,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438680774168628,-0.6506734823013465,0.9716774150613412,-1.0679343501299603,-0.7004639174755001,1.2964067751646615,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.856526931595084,-43.690787758821756,5.1123134825406185,1,0,0,0,1
971,981,1777637730.674471,4243.184,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.1843506268790657,-0.6508029364362546,0.9716199183990326,-1.0677776655354716,-0.7005676000886303,1.2962268272161752,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.859805575343884,-43.689500089873086,5.101592721581143,1,0,0,0,1
972,982,1777637730.6842504,4243.192,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18435180350922756,-0.6508047937164092,0.9716184676603339,-1.0678143984959287,-0.7005277504025998,1.296277866737551,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85903909683928,-43.689702884416704,5.104942047672891,1,0,0,0,1
973,983,1777637730.6871011,4243.2,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438718364401807,-0.6507592815662477,0.9716318057473633,-1.0678255462196005,-0.7005507786244668,1.2963347753629761,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85665005991514,-43.69144574161664,5.105870712015439,1,0,0,0,1
974,984,1777637730.6952097,4243.208,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18435643168079205,-0.6507928511949421,0.9716277471011491,-1.0678205095859035,-0.7005204395703757,1.2962717664053167,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85943638590075,-43.68937692402483,5.105096631761846,1,0,0,0,1
975,985,1777637730.702239,4243.215999999999,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438667927531746,-0.6507984853550124,0.9716172613811793,-1.0677901820471765,-0.7006140460158862,1.2963280290129993,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85540274716856,-43.692751621290924,5.102965861848477,1,0,0,0,1
976,986,1777637730.7106674,4243.224,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438770617248174,-0.6507670733063605,0.9716196030538056,-1.0678051936497144,-0.7005634664821361,1.2963242664728005,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85664092048077,-43.6915680845051,5.104884317854835,1,0,0,0,1
977,987,1777637730.7527542,4243.232,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18439001459547477,-0.6508046272064278,0.9716049937326035,-1.0677746843897946,-0.7005827242636137,1.2963083761669179,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85662722946413,-43.691752933911076,5.103392813333167,1,0,0,0,1
978,988,1777637730.7528203,4243.24,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18439193575427298,-0.6507376111026277,0.9716520767335762,-1.0678584124022577,-0.7005226118939146,1.2963811821628124,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85578783832829,-43.69179349096789,5.108611493225699,1,0,0,0,1
979,989,1777637730.7557764,4243.248,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18439088561260322,-0.6507331031841335,0.9716542145577616,-1.0678378368089312,-0.7006047511866401,1.296339594988447,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85547090103008,-43.692562115038164,5.104136155417202,1,0,0,0,1
980,990,1777637730.7587187,4243.255999999999,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.1843697844963914,-0.6507532541762214,0.9716494453240563,-1.0678415685208889,-0.7005836535051851,1.2963136809922235,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.856824948039886,-43.691505824632365,5.104196627668044,1,0,0,0,1
981,991,1777637730.7616565,4243.264,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.1843900074979943,-0.6507161917274662,0.9716576003238178,-1.0678583627777598,-0.7005634425599111,1.2963688947648855,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.855397801841846,-43.692314891446514,5.106736639550038,1,0,0,0,1
982,992,1777637730.7663043,4243.272,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18437452285654507,-0.6507697454515469,0.9716211714888622,-1.0678056281409407,-0.7005237875478929,1.296295962703964,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.858432064162216,-43.69010460239919,5.105530137794536,1,0,0,0,1
983,993,1777637730.773186,4243.28,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18437681241882478,-0.650793959778555,0.9716266055107168,-1.067787023938309,-0.7006402669659376,1.296288837995954,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85622982319898,-43.692362245794286,5.100812047215666,1,0,0,0,1
984,994,1777637730.773357,4243.288,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.1843800446175854,-0.6507906920479546,0.9716104381742683,-1.067797982887785,-0.7006167324598477,1.2963026206787123,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.85628574389131,-43.69215676548188,5.102200780892224,1,0,0,0,1
985,995,1777637730.775499,4243.295999999999,1.6322469163265996,0.1106097083126571,-1.9558544620808753,-0.35907499371799734,2.6381767099783433,1.0353792088909155,0.18438458109591838,-0.6508211269680101,0.9716074915321344,-1.0677729893104313,-0.7005763064677214,1.2963031189690213,3.07,25.11,49.41,0.44,0.364,1.734,55.50932444193497,-33.856930121514644,-43.69151045209246,5.103459332802481,1,0,0,0,1
